Site,Path.Type,Transect,Distance,Orders,Diptera,Hemiptera,Ixodida,Hymenoptera,Araneae,Coleoptera,Thysanoptera,Zoraptera,Embioptera,Dermaptera,Orthoptera,Neuroptera,Polyxenida,Stylommatophora,Haplotaxida,Abundance
A,Footpath,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
A,Footpath,1,3,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,5
A,Footpath,1,7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
A,Footpath,1,15,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4
A,Footpath,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
A,Footpath,2,3,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,5
A,Footpath,2,7,5,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,6
A,Footpath,2,15,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
A,Footpath,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A,Footpath,3,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3
A,Footpath,3,7,5,2,1,0,3,1,0,0,0,0,0,0,0,0,1,0,8
A,Footpath,3,15,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
B,Gravel,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
B,Gravel,1,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
B,Gravel,1,7,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5
B,Gravel,1,15,4,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,7
B,Gravel,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
B,Gravel,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
B,Gravel,2,7,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,6
B,Gravel,2,15,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6
B,Gravel,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
B,Gravel,3,3,4,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,7
B,Gravel,3,7,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
B,Gravel,3,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
C,Gravel,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
C,Gravel,1,3,3,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,5
C,Gravel,1,7,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8
C,Gravel,1,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C,Gravel,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
C,Gravel,2,3,3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,5
C,Gravel,2,7,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5
C,Gravel,2,15,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
C,Gravel,3,1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
C,Gravel,3,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2
C,Gravel,3,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
C,Gravel,3,15,4,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,7
D,Gravel,1,1,3,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,4
D,Gravel,1,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
D,Gravel,1,7,4,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,4
